Title,Date,Rating,Review
Perfect smash burger,2023-10-08,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the avocado, pickles, special sauce, and the milkshake was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Highly recommend,2023-07-02,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Packaging kept things together better than expected."
Would order again,2023-10-22,5,"This was one of the better burgers I've had lately. The smash patty tasted fresh and well-seasoned, and the pickles, caramelized onions worked really well together on the toasted bun. Everything came out hot, and the staff was helpful from start to finish. The fries could have been crispier."
Juicy and satisfying,2021-09-28,4,"Good burger overall. The smash patty was juicy and the pickles tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. I had to add ketchup at home to wake it up a bit."
Fresh ingredients all around,2025-01-22,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pickles, lettuce and tomato most, and even the cola was better than expected. I'd happily come back. Packaging kept things together better than expected."
Overcooked and dry,2023-11-02,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. The fries could have been crispier."
Would not return,2023-06-28,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the no side couldn't make up for it. Portion size was fair for the price."
Solid neighborhood spot,2022-09-05,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
Surprisingly great burger,2022-05-02,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the jalapeños, special sauce, and the lemonade was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Classic done right,2025-12-12,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, grilled mushrooms, and the lemonade was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
"Big portions, fair price",2024-05-21,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato, jalapeños, pepper jack most, and even the milkshake was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
Fine for a quick meal,2021-04-07,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The melted cheddar, grilled mushrooms helped, but overall it felt middle-of-the-road."
Best lunch stop,2025-01-16,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the bacon, melted cheddar, and the fries was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
"Crispy fries, solid burger",2022-08-13,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the grilled mushrooms, crispy onions, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Best lunch stop,2022-04-18,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
"Some hits, some misses",2025-03-21,3,"The burger was okay. The double patty had decent flavor, but the toasted bun got soggy halfway through. The melted cheddar, bacon were fine, and the fries was average. Nothing terrible, just not memorable. The fries could have been crispier."
Flavor packed and messy,2021-05-15,5,"Stopped by the drive-thru after work and the burger was excellent. The thick patty was rich, the soft bun held everything together, and the grilled mushrooms, pepper jack added a lot of flavor. Service was fast and the onion rings rounded out the meal nicely. Portion size was fair for the price."
Solid neighborhood spot,2024-03-24,4,"Good burger overall. The plant-based patty was juicy and the special sauce, melted cheddar, grilled mushrooms tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. I had to add ketchup at home to wake it up a bit."
"Crispy fries, solid burger",2021-02-10,5,"Stopped by the food court on a road trip and the burger was excellent. The double patty was juicy, the brioche bun held everything together, and the jalapeños, special sauce, bacon added a lot of flavor. Service was quick and the milkshake rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
Juicy and satisfying,2024-02-27,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the special sauce, caramelized onions, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Not bad,2023-07-14,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was slow. I had to add ketchup at home to wake it up a bit."
Really underwhelming,2023-10-07,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the milkshake couldn't make up for it. Portion size was fair for the price."
Really underwhelming,2024-11-01,1,"Really disappointing. The burger came out cold, the patty was overcooked, and the sesame bun was stale. Service was rushed, and I wouldn't order this again. I had to add ketchup at home to wake it up a bit."
Not bad,2023-08-19,3,"The burger was okay. The single patty had decent flavor, but the potato bun got soggy halfway through. The pepper jack were fine, and the onion rings was average. Nothing terrible, just not memorable."
Fast service and tasty food,2023-09-13,4,"Good burger overall. The thick patty was well-seasoned and the jalapeños tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. Portion size was fair for the price."
Nothing special,2021-11-09,3,"The burger was okay. The plant-based patty had decent flavor, but the sesame bun got soggy halfway through. The jalapeños, melted cheddar were fine, and the cola was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
Cheesy in the best way,2021-04-02,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the bacon, and the onion rings was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Average burger experience,2021-07-03,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The lettuce and tomato, pickles, avocado helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Cheesy in the best way,2022-09-05,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the crispy onions, bacon, grilled mushrooms, and the cola was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Best lunch stop,2023-11-12,4,"A solid meal with friends. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Excellent late-night bite,2022-04-03,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and crispy-edged, and the caramelized onions, bacon worked really well together on the sesame bun. Everything came out hot, and the staff was fast from start to finish."
"Big portions, fair price",2026-01-06,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the crispy onions, lettuce and tomato, special sauce most, and even the lemonade was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Would not return,2021-10-02,2,"I wanted to like this more, but it was disappointing. The double patty was greasy, and the soft bun fell apart quickly. The jalapeños, bacon couldn't save it, and service felt slow. I also appreciated that the order was accurate."
Good but not amazing,2023-06-12,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was confusing. The fries could have been crispier."
Exactly what I wanted,2024-08-28,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the avocado, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable."
Not bad,2026-02-13,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The caramelized onions helped, but overall it felt middle-of-the-road."
Best lunch stop,2025-10-06,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Nothing special,2021-03-20,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pepper jack, caramelized onions, special sauce helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
Average burger experience,2025-02-11,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Bland and forgettable,2022-11-16,2,"Below average meal. The burger arrived lukewarm and the texture was off. The milkshake was fine, but the main item lacked flavor and felt overpriced for what it was. Portion size was fair for the price."
"Some hits, some misses",2025-01-03,3,"The burger was okay. The smash patty had decent flavor, but the soft bun got soggy halfway through. The lettuce and tomato, melted cheddar, crispy onions were fine, and the lemonade was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
Nothing special,2023-05-11,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pickles, pepper jack, jalapeños helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Flavor packed and messy,2025-12-17,4,"Good burger overall. The double patty was perfectly seared and the lettuce and tomato, bacon, avocado tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. I also appreciated that the order was accurate."
Good but not amazing,2023-08-04,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The special sauce helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Fresh ingredients all around,2023-07-10,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and well-seasoned, and the special sauce worked really well together on the potato bun. Everything came out hot, and the staff was quick from start to finish. The fries could have been crispier."
Messy for the wrong reasons,2024-05-29,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I also appreciated that the order was accurate."
Reasonably good,2022-03-06,3,"The burger was okay. The thick patty had decent flavor, but the sesame bun got soggy halfway through. The bacon, special sauce, avocado were fine, and the sweet potato fries was average. Nothing terrible, just not memorable. I also appreciated that the order was accurate."
A really good burger,2024-12-11,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Okay in a pinch,2025-09-16,3,"The burger was okay. The plant-based patty had decent flavor, but the potato bun got soggy halfway through. The crispy onions, pickles, caramelized onions were fine, and the milkshake was average. Nothing terrible, just not memorable. Portion size was fair for the price."
Excellent late-night bite,2023-02-07,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the grilled mushrooms, pickles most, and even the sweet potato fries was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
Solid neighborhood spot,2024-04-15,4,"Good burger overall. The single patty was perfectly seared and the jalapeños, pepper jack tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. Packaging kept things together better than expected."
Would order again,2023-02-13,4,"Good burger overall. The thick patty was tender and the jalapeños, pepper jack tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again."
Cooked just right,2021-03-03,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Good but not amazing,2022-07-24,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was helpful. The fries could have been crispier."
Messy for the wrong reasons,2022-02-03,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. I also appreciated that the order was accurate."
Juicy and satisfying,2021-04-25,5,"This was one of the better burgers I've had lately. The smash patty tasted fresh and well-seasoned, and the lettuce and tomato worked really well together on the brioche bun. Everything came out hot, and the staff was efficient from start to finish. I also appreciated that the order was accurate."
Would order again,2025-10-14,4,"Good burger overall. The double patty was perfectly seared and the pickles, lettuce and tomato, caramelized onions tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. I had to add ketchup at home to wake it up a bit."
Juicy and satisfying,2025-12-13,5,"Stopped by the drive-thru for lunch and the burger was excellent. The single patty was juicy, the toasted bun held everything together, and the pepper jack added a lot of flavor. Service was friendly and the milkshake rounded out the meal nicely. I also appreciated that the order was accurate."
Not bad,2023-12-16,3,"The burger was okay. The plant-based patty had decent flavor, but the toasted bun got soggy halfway through. The pepper jack, special sauce, jalapeños were fine, and the fries was average. Nothing terrible, just not memorable. I also appreciated that the order was accurate."
Reasonably good,2023-03-12,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pickles helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
Cold when it arrived,2021-11-02,1,"Really disappointing. The burger came out barely warm, the patty was greasy, and the toasted bun was stale. Service was unfriendly, and I wouldn't order this again. Packaging kept things together better than expected."
Best lunch stop,2023-01-22,4,"Good burger overall. The plant-based patty was rich and the crispy onions, special sauce, grilled mushrooms tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. Packaging kept things together better than expected."
Would order again,2025-06-02,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the caramelized onions, pickles most, and even the fries was better than expected. I'd happily come back. The fries could have been crispier."
Would order again,2021-09-12,4,"A solid meal with friends. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Solid neighborhood spot,2023-04-19,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the jalapeños, and the fries was decent too. Not perfect, but definitely enjoyable."
Surprisingly great burger,2022-02-10,4,"Good burger overall. The plant-based patty was juicy and the lettuce and tomato tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. The fries could have been crispier."
Fast service and tasty food,2024-12-12,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and juicy, and the avocado, pickles, lettuce and tomato worked really well together on the sesame bun. Everything came out hot, and the staff was helpful from start to finish. I also appreciated that the order was accurate."
Reasonably good,2021-01-03,3,"Pretty average experience at the airport branch. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was confusing. I had to add ketchup at home to wake it up a bit."
Surprisingly great burger,2022-03-12,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and tender, and the special sauce, lettuce and tomato worked really well together on the sesame bun. Everything came out hot, and the staff was friendly from start to finish. Packaging kept things together better than expected."
A really good burger,2024-09-16,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pickles, jalapeños, and the lemonade was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Cooked just right,2024-06-20,5,"This was one of the better burgers I've had lately. The smash patty tasted fresh and rich, and the jalapeños worked really well together on the toasted bun. Everything came out hot, and the staff was friendly from start to finish. The fries could have been crispier."
Nothing special,2024-06-13,3,"Pretty average experience at downtown. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was friendly. I also appreciated that the order was accurate."
Fine for a quick meal,2022-12-20,3,"The burger was okay. The smash patty had decent flavor, but the soft bun got soggy halfway through. The special sauce, jalapeños were fine, and the sweet potato fries was average. Nothing terrible, just not memorable."
Highly recommend,2023-12-30,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the crispy onions, and the milkshake was decent too. Not perfect, but definitely enjoyable."
Cold when it arrived,2023-03-07,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. The fries could have been crispier."
Flavor packed and messy,2024-04-10,4,"Good burger overall. The double patty was juicy and the melted cheddar tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. I also appreciated that the order was accurate."
Would not return,2025-07-14,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the fries couldn't make up for it. Packaging kept things together better than expected."
Excellent late-night bite,2024-03-21,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Exactly what I wanted,2025-04-04,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and crispy-edged, and the caramelized onions worked really well together on the potato bun. Everything came out hot, and the staff was quick from start to finish. Packaging kept things together better than expected."
Reasonably good,2025-10-06,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The avocado helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
Exactly what I wanted,2025-02-04,5,"Stopped by the airport branch late at night and the burger was excellent. The thick patty was tender, the potato bun held everything together, and the caramelized onions, melted cheddar, pickles added a lot of flavor. Service was efficient and the onion rings rounded out the meal nicely."
Best lunch stop,2025-11-30,4,"A solid meal with friends. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Would not return,2025-01-09,2,"Below average meal. The burger arrived lukewarm and the texture was off. The onion rings was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
Perfect smash burger,2024-11-23,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pepper jack, bacon, avocado most, and even the onion rings was better than expected. I'd happily come back. Portion size was fair for the price."
"Some hits, some misses",2025-11-09,3,"Pretty average experience at the airport branch. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was disorganized. I had to add ketchup at home to wake it up a bit."
Would order again,2022-02-16,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and rich, and the pickles, bacon worked really well together on the toasted bun. Everything came out hot, and the staff was quick from start to finish. Portion size was fair for the price."
Average burger experience,2025-08-17,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was quick. The fries could have been crispier."
Cooked just right,2025-07-20,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the special sauce, lettuce and tomato most, and even the no side was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
Juicy and satisfying,2023-07-07,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the jalapeños most, and even the milkshake was better than expected. I'd happily come back. Portion size was fair for the price."
Would not return,2023-09-01,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming."
Juicy and satisfying,2022-11-06,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Surprisingly great burger,2021-04-24,4,"A solid meal on a road trip. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
Missed the mark,2024-07-07,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. Packaging kept things together better than expected."
Bland and forgettable,2024-09-25,2,"I wanted to like this more, but it was disappointing. The plant-based patty was greasy, and the sesame bun fell apart quickly. The melted cheddar, crispy onions couldn't save it, and service felt inattentive."
Nothing special,2021-05-06,3,"Pretty average experience at the airport branch. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was rushed. The fries could have been crispier."
Surprisingly great burger,2023-05-09,4,"Good burger overall. The smash patty was juicy and the pepper jack, crispy onions, grilled mushrooms tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again."
"Big portions, fair price",2023-12-14,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the avocado, jalapeños, pickles, and the fries was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Would order again,2025-04-15,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
Exactly what I wanted,2021-05-16,4,"A solid meal on a road trip. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Reasonably good,2024-12-31,3,"Pretty average experience at the airport branch. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was disorganized. I had to add ketchup at home to wake it up a bit."
Delicious and consistent,2022-05-08,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Cold when it arrived,2025-04-09,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I had to add ketchup at home to wake it up a bit."
Flavor packed and messy,2023-06-10,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the jalapeños most, and even the no side was better than expected. I'd happily come back. The fries could have been crispier."
Juicy and satisfying,2023-12-01,4,"A solid meal with friends. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Okay in a pinch,2021-04-25,3,"The burger was okay. The plant-based patty had decent flavor, but the toasted bun got soggy halfway through. The pickles, crispy onions, bacon were fine, and the milkshake was average. Nothing terrible, just not memorable."
Nothing special,2024-12-31,3,"The burger was okay. The thick patty had decent flavor, but the toasted bun got soggy halfway through. The crispy onions, special sauce were fine, and the fries was average. Nothing terrible, just not memorable. Portion size was fair for the price."
Cheesy in the best way,2022-01-25,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the crispy onions most, and even the no side was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
A really good burger,2024-03-08,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Perfect smash burger,2025-07-30,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
"Some hits, some misses",2023-03-13,3,"The burger was okay. The single patty had decent flavor, but the soft bun got soggy halfway through. The special sauce, melted cheddar were fine, and the onion rings was average. Nothing terrible, just not memorable. Portion size was fair for the price."
Solid neighborhood spot,2023-01-18,5,"Stopped by the drive-thru during a quick break and the burger was excellent. The thick patty was perfectly seared, the brioche bun held everything together, and the pickles added a lot of flavor. Service was quick and the onion rings rounded out the meal nicely."
Not bad,2025-03-02,3,"The burger was okay. The thick patty had decent flavor, but the soft bun got soggy halfway through. The avocado, pepper jack were fine, and the lemonade was average. Nothing terrible, just not memorable. Portion size was fair for the price."
Would order again,2025-06-26,4,"Good burger overall. The plant-based patty was rich and the crispy onions tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. The fries could have been crispier."
Fresh ingredients all around,2023-05-25,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and juicy, and the melted cheddar worked really well together on the potato bun. Everything came out hot, and the staff was helpful from start to finish."
Excellent late-night bite,2024-02-02,4,"A solid meal with friends. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Great flavor balance,2025-04-10,5,"Stopped by the airport branch on a road trip and the burger was excellent. The smash patty was juicy, the potato bun held everything together, and the bacon, avocado, grilled mushrooms added a lot of flavor. Service was efficient and the onion rings rounded out the meal nicely. Packaging kept things together better than expected."
Surprisingly great burger,2025-12-18,4,"Good burger overall. The plant-based patty was tender and the pepper jack, lettuce and tomato, crispy onions tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. Portion size was fair for the price."
Best lunch stop,2024-11-14,4,"Good burger overall. The smash patty was tender and the crispy onions tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. Portion size was fair for the price."
Missed the mark,2025-03-08,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the lemonade couldn't make up for it. Portion size was fair for the price."
Would order again,2024-03-22,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, special sauce, grilled mushrooms, and the fries was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
"Big portions, fair price",2024-06-07,5,"Stopped by the mall location on a road trip and the burger was excellent. The smash patty was crispy-edged, the potato bun held everything together, and the pickles added a lot of flavor. Service was fast and the onion rings rounded out the meal nicely."
Would order again,2023-03-09,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pickles most, and even the milkshake was better than expected. I'd happily come back. Packaging kept things together better than expected."
Juicy and satisfying,2024-02-06,5,"Stopped by downtown late at night and the burger was excellent. The single patty was well-seasoned, the sesame bun held everything together, and the crispy onions, grilled mushrooms added a lot of flavor. Service was efficient and the milkshake rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
Excellent late-night bite,2021-09-23,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
Exactly what I wanted,2024-12-15,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
"Crispy fries, solid burger",2024-11-27,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Packaging kept things together better than expected."
Messy for the wrong reasons,2022-04-27,2,"I wanted to like this more, but it was disappointing. The double patty was overcooked, and the sesame bun fell apart quickly. The crispy onions, bacon couldn't save it, and service felt inattentive. I had to add ketchup at home to wake it up a bit."
Best lunch stop,2023-01-16,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
"Crispy fries, solid burger",2025-09-06,4,"Good burger overall. The plant-based patty was juicy and the special sauce tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again. I also appreciated that the order was accurate."
Solid neighborhood spot,2022-07-20,5,"Stopped by the mall location for lunch and the burger was excellent. The smash patty was juicy, the brioche bun held everything together, and the pepper jack, avocado added a lot of flavor. Service was efficient and the sweet potato fries rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
Would not return,2023-06-04,2,"Below average meal. The burger arrived lukewarm and the texture was off. The onion rings was fine, but the main item lacked flavor and felt overpriced for what it was. I had to add ketchup at home to wake it up a bit."
"Crispy fries, solid burger",2025-12-06,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Not worth the price,2021-08-08,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the fries couldn't make up for it. Packaging kept things together better than expected."
Would order again,2025-04-20,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pepper jack, grilled mushrooms most, and even the cola was better than expected. I'd happily come back. Portion size was fair for the price."
Would not return,2022-01-07,2,"Below average meal. The burger arrived lukewarm and the texture was off. The cola was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
Would not return,2023-06-06,1,"Really disappointing. The burger came out barely warm, the patty was rubbery, and the soft bun was stale. Service was unfriendly, and I wouldn't order this again. The fries could have been crispier."
Fine for a quick meal,2021-08-28,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The crispy onions, melted cheddar, caramelized onions helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Not worth the price,2021-04-10,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I had to add ketchup at home to wake it up a bit."
Highly recommend,2025-10-29,4,"A solid meal on a road trip. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Reasonably good,2021-04-15,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The grilled mushrooms, lettuce and tomato helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Excellent late-night bite,2025-08-15,5,"Stopped by the drive-thru late at night and the burger was excellent. The double patty was juicy, the toasted bun held everything together, and the lettuce and tomato, caramelized onions added a lot of flavor. Service was attentive and the no side rounded out the meal nicely. The fries could have been crispier."
